example_id,source,segment,context_position,response_token_index,token_text,token_class,fwd_kl,log1p_fwd_kl,pred_rich,residual_pred_rich,abs_residual_pred_rich,js,top1_agree,base_top1_text,inst_top1_text,base_entropy,base_logprob_observed,base_rank_observed,is_safe,metadata_category,context_snippet
wikitext:4314,wikitext,prompt,77,-14, is,word,4.282104015350342,1.6643245060987568,0.009707985512646589,1.6546165205861103,1.6546165205861103,0.34305116534233093,0," ""","""",0.20462468266487122,-3.0500216484069824,2.0,True,,"Eddie is ready to play , he agrees to Bert 's terms , deciding that a "" 25 % slice of something big is better than a 100 % slice of nothing "" ."
wikitext:4314,wikitext,prompt,17,-74, other,word,4.282963752746582,1.6644872570468832,0.028142512350932035,1.6363447446959511,1.6363447446959511,0.453206866979599,0, two, pool,0.9131451845169067,-8.046375274658203,11.0,True,,"Eddie humiliates a local pool shark , exposing himself as a hustler , and the other players punish him by breaking his thumbs . As he heals , Sarah cares for him and tells him she lov"
wikitext:4314,wikitext,prompt,31,-60, cares,word,4.248600959777832,1.65796155723856,0.03339380988995326,1.6245677473486066,1.6245677473486066,0.5509132742881775,0, calls, approaches,1.0070180892944336,-16.987857818603516,2949.0,True,,"himself as a hustler , and the other players punish him by breaking his thumbs . As he heals , Sarah cares for him and tells him she loves him , but he cannot say the words in return . When Eddie is ready t"
wikitext:4314,wikitext,prompt,69,-22, ,space,3.4314446449279785,1.4887256358462644,0.052111608415543735,1.4366140274307206,1.4366140274307206,0.469833105802536,0,win,loser,2.137819766998291,-8.983254432678223,162.0,True,,"y the words in return . When Eddie is ready to play , he agrees to Bert 's terms , deciding that a "" 25 % slice of something big is better than a 100 % slice of nothing "" ."
wikitext:4314,wikitext,prompt,80,-11, a,word,3.2371151447296143,1.4438826472793185,0.02800273888236217,1.4158799083969562,1.4158799083969562,0.2812831401824951,1, , ,0.5675705075263977,-2.39060115814209,2.0,True,,"to play , he agrees to Bert 's terms , deciding that a "" 25 % slice of something big is better than a 100 % slice of nothing "" ."
wikitext:4314,wikitext,prompt,14,-77," ,",punctuation,3.3694663047790527,1.4746408745965347,0.11382614671575347,1.3608147278807812,1.3608147278807812,0.2680824100971222,0, .,.,2.0731639862060547,-2.8511791229248047,5.0,True,,"Eddie humiliates a local pool shark , exposing himself as a hustler , and the other players punish him by breaking his thumbs . As he heals , Sarah cares for him and tel"
wikitext:4314,wikitext,prompt,65,-26, deciding,word,3.1162381172180176,1.4149396679063395,0.05433398442356796,1.3606056834827716,1.3606056834827716,0.5026595592498779,0, a, but,1.6121269464492798,-17.917404174804688,16171.0,True,,", but he cannot say the words in return . When Eddie is ready to play , he agrees to Bert 's terms , deciding that a "" 25 % slice of something big is better than a 100 % slice of nothing "" ."
wikitext:4314,wikitext,prompt,42,-49, he,word,2.8284223079681396,1.3424527882916428,0.004272313120400157,1.3381804751712427,1.3381804751712427,0.2301359921693802,1, he, he,0.13971063494682312,-0.026489464566111565,1.0,True,,"ish him by breaking his thumbs . As he heals , Sarah cares for him and tells him she loves him , but he cannot say the words in return . When Eddie is ready to play , he agrees to Bert 's terms , decidin"
wikitext:4314,wikitext,prompt,25,-66, .,punctuation,3.2887706756591797,1.456000136084569,0.15811440145088362,1.2978857346336854,1.2978857346336854,0.3052520155906677,0, .,.,0.6695917844772339,-0.22146262228488922,1.0,True,,"pool shark , exposing himself as a hustler , and the other players punish him by breaking his thumbs . As he heals , Sarah cares for him and tells him she loves him , but he cannot say the words in retu"
wikitext:4314,wikitext,prompt,72,-19, %,punctuation,2.6788811683654785,1.3026086756187796,0.0956444541755268,1.2069642214432528,1.2069642214432528,0.372999906539917,0, -,-,1.5442357063293457,-8.158227920532227,25.0,True,,"he words in return . When Eddie is ready to play , he agrees to Bert 's terms , deciding that a "" 25 % slice of something big is better than a 100 % slice of nothing "" ."
